,rallyid,server,x,y
0,1,Djokovic,1.86,16.8
1,3,Djokovic,7.05,16.97
2,6,Djokovic,8.04,17.8
3,8,Nadal,4.44,16.24
4,9,Nadal,5.71,16.4
5,11,Nadal,4.66,16.24
6,13,Nadal,5.83,16.72
7,14,Nadal,0.98,17.3
8,15,Djokovic,5.58,5.41
9,17,Djokovic,3.87,10.83
10,18,Djokovic,5.14,6.51
11,20,Nadal,6.68,4.64
12,22,Nadal,2.77,6.71
13,23,Nadal,4.27,6.51
14,24,Nadal,7.55,6.66
15,25,Nadal,1.01,7.63
16,26,Nadal,5.03,6.32
17,28,Nadal,3.07,6.41
18,29,Nadal,7.98,5.93
19,30,Nadal,1.16,7.9
20,32,Djokovic,4.53,17.89
21,34,Djokovic,7.15,17.46
22,36,Nadal,3.19,16.16
23,37,Nadal,8.4,16.16
24,38,Nadal,4.53,15.92
25,40,Nadal,5.88,16.48
26,42,Nadal,3.68,16.56
27,43,Nadal,7.76,16.0
28,44,Djokovic,8.23,6.96
29,46,Djokovic,2.61,11.58
30,48,Djokovic,5.31,5.79
31,49,Djokovic,1.86,8.77
32,51,Nadal,7.08,6.81
33,54,Nadal,1.83,8.0
34,56,Nadal,5.3,6.36
35,57,Nadal,4.13,7.48
36,59,Djokovic,1.4,16.64
37,60,Djokovic,4.74,15.53
38,62,Djokovic,1.68,16.32
39,63,Djokovic,5.08,16.8
40,64,Djokovic,0.86,16.0
41,65,Nadal,1.63,16.26
42,66,Nadal,8.69,17.43
43,67,Nadal,4.63,17.09
44,70,Nadal,7.35,16.26
45,71,Nadal,4.91,15.54
46,73,Nadal,8.08,15.54
47,75,Djokovic,2.05,16.84
48,77,Djokovic,6.16,15.85
49,78,Djokovic,3.93,16.26
50,79,Djokovic,5.13,16.67
51,80,Nadal,5.24,6.79
52,82,Nadal,7.76,6.49
53,84,Nadal,3.14,7.48
54,86,Nadal,7.34,6.44
55,87,Nadal,1.6,7.91
56,89,Djokovic,5.9,5.94
57,91,Djokovic,2.89,9.56
58,92,Djokovic,5.0,5.94
59,93,Djokovic,4.92,10.41
60,94,Djokovic,4.65,6.85
61,96,Nadal,3.95,17.35
62,97,Nadal,8.08,17.01
63,98,Nadal,1.46,16.18
64,99,Nadal,7.63,16.01
65,100,Nadal,4.37,16.01
66,103,Djokovic,1.24,16.76
67,104,Djokovic,8.25,16.67
68,105,Djokovic,1.24,16.18
69,108,Djokovic,5.42,16.51
70,109,Djokovic,0.93,15.94
71,110,Djokovic,4.94,16.1
72,111,Djokovic,1.63,17.52
73,112,Djokovic,5.2,16.59
74,114,Djokovic,1.4,15.77
75,115,Djokovic,4.86,15.46
76,117,Nadal,7.45,6.54
77,120,Nadal,7.71,7.0
78,122,Nadal,4.86,6.49
79,123,Nadal,5.65,5.89
80,126,Djokovic,1.79,8.97
81,127,Djokovic,4.54,7.96
82,128,Djokovic,1.46,8.41
83,130,Nadal,4.38,17.18
84,131,Nadal,7.73,16.1
85,132,Nadal,0.89,17.09
86,134,Nadal,7.25,16.1
87,135,Nadal,3.67,16.76
88,136,Nadal,8.57,16.67
89,139,Djokovic,2.74,17.52
90,141,Djokovic,5.51,17.35
91,143,Djokovic,4.19,16.51
92,146,Djokovic,8.41,17.26
93,147,Nadal,5.04,5.22
94,149,Nadal,4.78,4.26
95,152,Nadal,2.13,7.91
96,154,Nadal,6.25,6.34
97,155,Nadal,1.74,7.05
98,156,Djokovic,8.19,6.79
99,157,Djokovic,2.04,10.23
100,158,Djokovic,8.2,8.13
101,161,Djokovic,8.14,6.14
102,162,Nadal,4.0,17.52
103,163,Nadal,8.46,16.67
104,164,Nadal,1.27,16.42
105,168,Nadal,0.97,17.18
106,169,Djokovic,3.5,17.87
107,170,Djokovic,4.91,16.92
108,171,Djokovic,0.95,16.84
109,173,Djokovic,5.28,16.1
110,174,Djokovic,1.3,16.26
111,175,Djokovic,5.07,16.76
112,176,Djokovic,1.05,15.3
113,178,Djokovic,8.07,17.18
114,179,Nadal,6.08,6.19
115,180,Nadal,4.64,7.42
116,182,Nadal,7.9,6.95
117,183,Nadal,4.58,7.0
118,186,Nadal,5.6,7.42
119,188,Djokovic,7.69,7.11
120,189,Djokovic,4.46,8.55
121,190,Djokovic,4.65,6.74
122,191,Djokovic,4.65,8.86
123,193,Djokovic,4.43,6.95
124,194,Djokovic,4.82,8.29
125,195,Djokovic,8.1,7.16
126,196,Djokovic,6.08,7.85
127,198,Nadal,4.41,16.42
128,199,Nadal,5.89,16.42
129,201,Nadal,2.38,17.43
130,202,Nadal,8.29,15.88
131,204,Nadal,3.21,16.24
132,206,Nadal,6.49,16.64
